Status,Sign,Reference,,,,,,,
done,0,Numbers 0 to 10 | Indian Sign Language (ISL),,,,,,,
done,1,https://www.youtube.com/watch?v=AGIYcP5ZZEs&list=PLbP8GJBZGz6kWwilBpnEGq3hbnvcz-LBS,,,,,,,
done,2,https://www.youtube.com/watch?v=6QlKyTMbWk8&list=PLbP8GJBZGz6kWwilBpnEGq3hbnvcz-LBS&index=2,,,,,,,
done,3,https://www.youtube.com/watch?v=J-eI13Mb2I4&list=PLbP8GJBZGz6kWwilBpnEGq3hbnvcz-LBS&index=4,,,,,,,
done,4,https://www.youtube.com/watch?v=tUCzNHr4ss4&list=PLbP8GJBZGz6kWwilBpnEGq3hbnvcz-LBS&index=4,,,,,,,
done,5,https://www.youtube.com/watch?v=hPlCfCiKAKM&list=PLbP8GJBZGz6kWwilBpnEGq3hbnvcz-LBS&index=5,,,,,,,
done,6,https://www.youtube.com/watch?v=e3sO3I5qLbE&list=PLbP8GJBZGz6kWwilBpnEGq3hbnvcz-LBS&index=6,,,,,,,
done,7,https://www.youtube.com/watch?v=Dwyrc3m42KU&list=PLbP8GJBZGz6kWwilBpnEGq3hbnvcz-LBS&index=7,,,,,,,
done,8,https://www.youtube.com/watch?v=jt_0jU6Ffn4&list=PLbP8GJBZGz6kWwilBpnEGq3hbnvcz-LBS&index=8,,,,,,,
done,9,https://www.youtube.com/watch?v=vasMN31CpBg&list=PLbP8GJBZGz6kWwilBpnEGq3hbnvcz-LBS&index=9,,,,,,,
done,A,https://www.youtube.com/watch?v=sbENF6dw2FM&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9,,,,,,,
done,B,https://www.youtube.com/watch?v=Rsh6owLfK-0&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=2,,,,,,,
done,C,https://www.youtube.com/watch?v=VKDLX022tk4&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=3,,,,,,,
done,D,https://www.youtube.com/watch?v=NrahweIKAT8&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=4,,,,,,,
done,E,https://www.youtube.com/watch?v=ekXIzeWw2Dc&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=5,,,,,,,
done,F,https://www.youtube.com/watch?v=YhtvDkwCmzE&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=6,,,,,,,
done,G,https://www.youtube.com/watch?v=QoTgGuVKl_I&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=7,,,,,,,
done,H,https://www.youtube.com/watch?v=9iMVdprykP8&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=8,,,,,,,
done,I,https://www.youtube.com/watch?v=ESSEjdwFS4Q&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=9,,,,,,,
done,J,https://www.youtube.com/watch?v=9TAj9ZySisY&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=10,,,,,,,
done,K,https://www.youtube.com/watch?v=YixYZEvNBIM&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=11,,,,,,,
done,L,https://www.youtube.com/watch?v=ACIjqFAFPMk&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=12,,,,,,,
done,M,https://www.youtube.com/watch?v=ry2Oj1y18Lg&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=13,,,,,,,
done,N,https://www.youtube.com/watch?v=Bk1el7o9qcY&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=14,,,,,,,
done,O,https://www.youtube.com/watch?v=_pvH3mYhWTY&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=15,,,,,,,similar to 0
done,P,https://www.youtube.com/watch?v=fpHlVco86sA&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=16,,,,,,,
done,Q,https://www.youtube.com/watch?v=fpHlVco86sA&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=16,,,,,,,
done,R,https://www.youtube.com/watch?v=8RPYFcUjWv4&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=18,,,,,,,
done,S,https://www.youtube.com/watch?v=ly6wa3qq7HI&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=19,,,,,,,
done,T,https://www.youtube.com/watch?v=poFmr5tob7I&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=20,,,,,,,
done,U,https://www.youtube.com/watch?v=poFmr5tob7I&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=20,,,,,,,
done,V,https://www.youtube.com/watch?v=lla8q5nCbgI&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=22,,,,,,,similar to 2
done,W,https://www.youtube.com/watch?v=IqnH7H46KNk&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=23,,,,,,,
done,X,https://www.youtube.com/watch?v=Lej2hAybHEI&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=24,,,,,,,
done,Y,https://www.youtube.com/watch?v=d9tBwbvcZ1A&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=25,,,,,,,
done,Z,https://www.youtube.com/watch?v=R-ycf2OpC1I&list=PLbP8GJBZGz6ma7NoM6fBZTX1EuARjz-t9&index=26,,,,,,,
done,hello,https://youtu.be/WwY0qpr4xNA?si=2ESktxUC8Hou5IEw,,,,,,,
done,Indian/India,https://youtu.be/VtbYvVDItvg?si=JaGbw9LF4DS76U6X,,,,,,,
done,sign,https://youtu.be/VtbYvVDItvg?si=CUwactNEuoayhnBM,,,,,,,
done,language,https://youtu.be/VtbYvVDItvg?si=JxTUkpOru-6kMU6-&t=127,,,,,,,
done,bye,https://youtu.be/VtbYvVDItvg?si=_SIJ5Vk2utAQ_BEE&t=139,,,,,,,
done,He,https://www.youtube.com/watch?v=nCAmVmlQIZ4,,,,,,,
done,Her,https://www.youtube.com/watch?v=9AbdorkWSH4,,,,,,,
done,Herself,https://www.youtube.com/watch?v=qElHzfz8-PE,,,,,,,
done,Him,https://www.youtube.com/watch?v=IgKo3xk2U7E,,,,,,,
done,Himself,https://www.youtube.com/watch?v=RacwSF_hINM,,,,,,,
done,His,https://www.youtube.com/watch?v=ZJRKmuNOiA0,,,,,,,
done,I,https://www.youtube.com/watch?v=Xo4aMJNRbyA,,,,,,,
done,It,https://www.youtube.com/watch?v=HTNEb8J2IEQ,,,,,,,
done,Itself,https://www.youtube.com/watch?v=UCtnIoDrXsU,,,,,,,
done,Me,https://www.youtube.com/watch?v=KblWO7deaW8,,,,,,,
done,My,https://www.youtube.com/watch?v=vHOMolMUC-8,,,,,,,
done,Myself,https://www.youtube.com/watch?v=gdoH5TuKRps,,,,,,,
done,Our,https://www.youtube.com/watch?v=KJirEqr7v2Q,,,,,,,
done,Ourselves,https://www.youtube.com/watch?v=jJQ1KWtwiTw,,,,,,,
done,She,https://www.youtube.com/watch?v=TbEJ0xnmUcg,,,,,,,
done,Them,https://www.youtube.com/watch?v=_MOmHzbvsYA,,,,,,,
done,Yourself,https://www.youtube.com/watch?v=2WPnjNQWNQc,,,,,,,
done,Your,https://www.youtube.com/watch?v=uyJR6iMm6wM,,,,,,,
done,You,https://www.youtube.com/watch?v=xQ69HkYzz7E,,,,,,,
done,We,https://www.youtube.com/watch?v=bVtv7TeKy2I,,,,,,,
done,They,https://www.youtube.com/watch?v=rOLqagZYXFk,,,,,,,
done,Night,https://youtu.be/RxN6t3Di31k?si=hVdktSoOhpivWRu8&t=3,,,,,,,
done,Morning,https://youtu.be/lDl97M6jYUM?si=9vUH-ZZ5M4WIYXZ5&t=3,,,,,,,
done,Evening,https://www.youtube.com/watch?v=fFz2THL8EXk,,,,similar to night,,,
done,Afternoon,https://youtu.be/vKioZH72HYw?si=362ZbGqXmkSJDvAW&t=3,,,,,,,
done,Wear,https://www.youtube.com/watch?v=aixPqepimG8,,,,,,,
done,Walk,https://www.youtube.com/watch?v=CJLJlZ6kMFE,,,,,,,
done,Think,https://www.youtube.com/watch?v=VIAoWB1zcSY,,,,,,,
done,Tear,https://www.youtube.com/watch?v=BYt-OraBrv0,,,,,,,
done,Swing,https://www.youtube.com/watch?v=tOP1M422LRs,,,,,,,
done,Stand,https://www.youtube.com/watch?v=qGTaZyTQKLs,,,,,,,
done,Run,https://www.youtube.com/watch?v=OxtGc8B7nbM,,,,,,,
done,Rest,https://www.youtube.com/watch?v=IjJcXUxBENo,,,,,,,
done,Praise,https://www.youtube.com/watch?v=x7Csq_0-YoE,,,,,,,
done,Practice,https://www.youtube.com/watch?v=BRxdnEDyzlQ,,,,,,,
done,Namaste,https://www.youtube.com/watch?v=FtvL0IskXh4,,,,,,,
done,Ignore,https://www.youtube.com/watch?v=HMJc2PXOyZU,,,,,,,
done,Hide,https://www.youtube.com/watch?v=cxskiidDKB0,,,,,,,
done,Examine,https://www.youtube.com/watch?v=y1XTnu_Onhw,,,,,,,
done,Dream,https://www.youtube.com/watch?v=on-bs4yXnDA,,,,,,,
