Filename | True Label | Predicted Label | Confidence
--------------------------------------------------------------------------------
webcam_dup_webcam_1776404881845_crossfade_splic_a03daaf2.npy | __reject__      | happy           | 0.9934
webcam_1776404881845_crossfade_splice_merge_1_fdaec9d0.npy | __reject__      | happy           | 0.9934
webcam_1778662477452_hand_swap_merge_1_aa649a20.npy | __reject__      | poor            | 0.9924
webcam_1776404913625_aug_0_69c2849a.npy  | __reject__      | happy           | 0.9922
webcam_1776404913625_crossfade_splice_merge_0_93e786fc.npy | __reject__      | happy           | 0.9919
webcam_dup_webcam_dup_webcam_proximity_only_swap_merge_1_b80cb14f.npy | __reject__      | they            | 0.9916
webcam_1776404881845_multi_splice_merge_1_5ef3562a.npy | __reject__      | happy           | 0.9915
webcam_1778591196531_aug_3_083fa4d7.npy  | __reject__      | hard            | 0.9911
webcam_1783838334577_multi_splice_merge_0_be04d276.npy | __reject__      | male            | 0.9910
webcam_dup_webcam_1776404866_hand_swap_merge_1_baebf2da.npy | __reject__      | happy           | 0.9904
webcam_1776404881845_hand_swap_merge_0_6508c8bc.npy | __reject__      | happy           | 0.9904
webcam_1778662504370_aug_0_09736186.npy  | __reject__      | poor            | 0.9901
webcam_1783831776276_proximity_only_swap_merge_0_15dc7699.npy | __reject__      | ugly            | 0.9899
webcam_1778662504370.npy                 | __reject__      | poor            | 0.9895
webcam_dup_webcam_1778662504370_f762a6f7.npy | __reject__      | poor            | 0.9895
webcam_1776404905503_splice_merge_0_0e76a1e2.npy | __reject__      | happy           | 0.9892
webcam_dup_webcam_1776404913625_tempo_aligned_s_e8c011e8.npy | __reject__      | happy           | 0.9890
webcam_1778662504370_tempo_aligned_splice_merge_0_8b3ef696.npy | __reject__      | poor            | 0.9889
webcam_1776404881845_hand_swap_merge_0_743f611d.npy | __reject__      | happy           | 0.9889
webcam_1778591220993_aug_2_1a00e331.npy  | __reject__      | from            | 0.9888
MVI_5196_aug6.npy                        | __reject__      | cool            | 0.9885
webcam_1783789761937_hybrid_merge_1_18bd917c.npy | __reject__      | on              | 0.9881
webcam_1775814683437_aug_0_8f5ed268_aug_0_953bd04a_aug_1_459a0682_aug_1_568bd792.npy | __reject__      | loud            | 0.9879
webcam_1783838643502.npy                 | __reject__      | they            | 0.9872
webcam_1775814762981_aug_0_9b57eacf_hand_swap_merge_0_7b52bc6d.npy | __reject__      | loud            | 0.9869
webcam_1777447019848_aug_0_0d62c085.npy  | __reject__      | bye             | 0.9865
webcam_dup_webcam_1778086748278_aug_0_85e8b8c7_b5a4cb7e.npy | __reject__      | fan             | 0.9863
webcam_dup_webcam_1777446572_blend_merge_1_e3a76382.npy | __reject__      | thick           | 0.9861
MVI_9224_aug4.npy                        | __reject__      | famous          | 0.9860
webcam_1783788105753_multi_splice_merge_1_d9602d14.npy | __reject__      | curved          | 0.9859
webcam_1778662419200.npy                 | __reject__      | powerful        | 0.9857
webcam_1783831709241_hand_swap_merge_0_bf48a059.npy | __reject__      | ugly            | 0.9857
webcam_1783787976280_hand_swap_merge_0_931bb081.npy | __reject__      | curved          | 0.9856
webcam_1777532434762_aug_0_303f88dc_aug_0_1125c666_aug_2_28c891bd_aug_1_65a1a371.npy | __reject__      | warm            | 0.9855
webcam_1783787976280_tempo_aligned_splice_merge_1_27b9dd3e.npy | __reject__      | curved          | 0.9855
webcam_1778662551481_left_right_cross_swap_merge_0_6409162a.npy | __reject__      | powerful        | 0.9855
webcam_1778662349298_aug_0_14a783c3.npy  | __reject__      | poor            | 0.9853
webcam_1778662442186_tempo_aligned_splice_merge_0_62a79f4a.npy | __reject__      | powerful        | 0.9852
webcam_1783838635955_hand_swap_merge_0_b00e9ad9.npy | __reject__      | saturday        | 0.9851
webcam_1777532357129_aug_0_09a64386.npy  | __reject__      | c               | 0.9850
webcam_1778662434513_aug_0_450ceb13.npy  | __reject__      | powerful        | 0.9849
webcam_1783788105753.npy                 | __reject__      | curved          | 0.9848
webcam_1783787983820_left_right_cross_swap_merge_1_c4aea221.npy | __reject__      | hot             | 0.9848
webcam_1783834146388.npy                 | __reject__      | f               | 0.9848
webcam_1778075656406_aug_1_0153c23a.npy  | __reject__      | e               | 0.9847
webcam_1778662411275_left_right_cross_swap_merge_1_ed3cd376.npy | __reject__      | powerful        | 0.9845
webcam_1783787976280_aug_0_19d5c66e.npy  | __reject__      | curved          | 0.9843
webcam_1777447027598_blend_then_noise_merge_1_32470111.npy | __reject__      | bye             | 0.9839
webcam_1778662333875_hybrid_merge_1_e0da3089.npy | __reject__      | powerful        | 0.9839
webcam_1783786894246.npy                 | __reject__      | they            | 0.9838
webcam_1783838732368_hand_swap_merge_0_8e9e3eb8.npy | __reject__      | hard            | 0.9837
webcam_1777447043094_aug_1_7a8b4aa6_aug_2_080ef56c.npy | __reject__      | bye             | 0.9837
webcam_1777641012673_hybrid_merge_1_f7dcafea.npy | __reject__      | loud            | 0.9835
webcam_dup_webcam_1778086748278_blend_then_nois_293a6f4b.npy | __reject__      | fan             | 0.9835
webcam_1778591196531_aug_0_4b35ccbe.npy  | __reject__      | hard            | 0.9833
webcam_1783834262690.npy                 | __reject__      | loud            | 0.9833
webcam_dup_webcam_1777703691_blend_then_noise_merge_1_5ec2a51b.npy | __reject__      | c               | 0.9832
webcam_1783838342485_crossfade_splice_merge_0_7c2d5647.npy | __reject__      | e               | 0.9831
webcam_1783790356935_splice_merge_1_ea398872.npy | __reject__      | loud            | 0.9831
webcam_1775814609983_multi_splice_merge_0_521dcdc1.npy | __reject__      | beautiful       | 0.9828
webcam_1778609373030_aug_2_d6930b19.npy  | __reject__      | we              | 0.9828
webcam_1783834037667.npy                 | __reject__      | heavy           | 0.9827
webcam_dup_webcam_1778086625469_crossfade_splic_7b5b7a47.npy | __reject__      | fan             | 0.9827
webcam_1783786903211.npy                 | __reject__      | they            | 0.9826
mvi_5229_aug17.npy                       | __reject__      | famous          | 0.9825
MVI_9690_aug10.npy                       | __reject__      | poor            | 0.9824
webcam_1783838129355_hand_swap_merge_0_f5543403.npy | __reject__      | delicious       | 0.9821
webcam_1783788105753_aug_0_58c4f5f5.npy  | __reject__      | curved          | 0.9821
webcam_1783787976280.npy                 | __reject__      | curved          | 0.9821
webcam_1778662310031_aug_5_a47034d3.npy  | __reject__      | powerful        | 0.9820
webcam_1783838202491.npy                 | __reject__      | poor            | 0.9818
webcam_1778591204760_aug_0_48bf0d9a.npy  | __reject__      | hard            | 0.9817
webcam_1778662483946_left_right_cross_swap_merge_0_41d457c2.npy | __reject__      | poor            | 0.9816
webcam_1778086452502_aug_1_40adbed8.npy  | __reject__      | fan             | 0.9815
webcam_1778609420123_aug_0_f62bda90.npy  | __reject__      | we              | 0.9815
webcam_dup_MVI_9224_aug5_48c10dbb.npy    | __reject__      | famous          | 0.9814
webcam_dup_webcam_1776404804008_tempo_aligned_s_d7952559.npy | __reject__      | happy           | 0.9813
webcam_1776404804008_tempo_aligned_splice_merge_0_9bf08bc7.npy | __reject__      | happy           | 0.9813
webcam_1775814474839_aug_0_a921e6ac_hand_swap_merge_0_c32c78d8_splice_merge_0_5c7dd627.npy | __reject__      | loud            | 0.9811
webcam_1778662570994_aug_4_0e578f28.npy  | __reject__      | poor            | 0.9811
webcam_1778086748278_multi_splice_merge_1_544f1e5c.npy | __reject__      | fan             | 0.9810
mvi_9218_aug5.npy                        | __reject__      | slow            | 0.9809
webcam_1777532312416_aug_1_8a236c0c_aug_0_e91c765f_aug_2_c97cd4ba.npy | __reject__      | c               | 0.9807
webcam_1775814482376_aug_2_51c19d36_hand_swap_merge_0_ba485170.npy | __reject__      | loud            | 0.9807
webcam_1783786894246_aug_2_747606da.npy  | __reject__      | they            | 0.9806
webcam_1778662434513_splice_merge_0_f0b09827.npy | __reject__      | powerful        | 0.9805
webcam_1777447004292_aug_1_791b94a3_aug_0_f8bb2625.npy | __reject__      | bye             | 0.9805
webcam_1783790356935.npy                 | __reject__      | loud            | 0.9803
webcam_1778075636021_aug_0_844bb632.npy  | __reject__      | e               | 0.9801
webcam_1776404804008_crossfade_splice_merge_0_89df1d3a.npy | __reject__      | happy           | 0.9801
webcam_1783833226195.npy                 | __reject__      | hello           | 0.9799
webcam_dup_webcam_1783833226195_c8186053.npy | __reject__      | hello           | 0.9799
webcam_dup_webcam_1783833226195_ef862434.npy | __reject__      | hello           | 0.9799
webcam_dup_webcam_1783833226195_caf6bb47.npy | __reject__      | hello           | 0.9799
webcam_dup_webcam_1783833226195_a341a24c.npy | __reject__      | hello           | 0.9799
webcam_1778156885667_hand_swap_merge_1_b230e146.npy | __reject__      | pleased         | 0.9798
webcam_dup_MVI_5196_aug3_a81aed9a.npy    | __reject__      | cool            | 0.9797
MVI_5196_aug3.npy                        | __reject__      | cool            | 0.9797
webcam_1783787924716_blend_then_noise_merge_1_a5558554.npy | __reject__      | hot             | 0.9795
webcam_1783834240540.npy                 | __reject__      | heavy           | 0.9793
